Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModel3X3,0.0,1.0,1.0,2,false,0.122,0.122,3,3,0,0,0
1,S-BP,IsingModel3X3,0.0,0.5833333333333334,0.5833333333333334,4,false,0.339,0.461,3,3,0,0,0
2,S-BP,IsingModel3X3,0.0,0.5833333333333334,0.5833333333333334,4,false,0.146,0.607,3,3,0,0,0
3,S-BP,IsingModel3X3,0.0,0.5833333333333334,0.5833333333333334,4,false,0.167,0.774,3,3,0,0,0
4,S-BP,IsingModel3X3,0.0,0.5833333333333334,0.5833333333333334,4,false,0.205,0.979,3,3,0,0,0
5,S-BP,IsingModel3X3,0.0,0.5426356589147286,0.5426356589147286,4,false,0.297,1.276,3,3,0,0,0
6,S-BP,IsingModel3X3,0.0,0.5426356589147286,0.5426356589147286,4,false,0.249,1.525,3,3,0,0,0
7,S-BP,IsingModel3X3,0.0,0.5426356589147286,0.5426356589147286,4,false,0.254,1.779,3,3,0,0,0
8,S-BP,IsingModel3X3,0.0,0.5426356589147286,0.5426356589147286,4,false,0.39,2.169,3,3,0,0,0
9,S-BP,IsingModel3X3,0.44245676803816336,0.5185185185185185,0.07606175048035513,2,false,0.662,2.831,3,3,0,0,0
10,S-BP,IsingModel3X3,0.44245676803816336,0.5185185185185185,0.07606175048035513,4,false,0.71,3.541,3,3,0,0,0
11,S-BP,IsingModel3X3,0.4528623590535476,0.4528623590535476,0.0,1,false,0.962,4.503,3,3,0,0,0
12,SGDPLL,IsingModel3X3,0.4528623590535476,0.4528623590535476,0.0,0,true,0.101,0.101,3,3,0,0,0
0,S-BP,IsingModel3X4,0.0,1.0,1.0,2,false,0.001,0.001,3,4,0,0,0
1,S-BP,IsingModel3X4,0.0,0.75,0.75,4,false,0.02,0.021,3,4,0,0,0
2,S-BP,IsingModel3X4,0.0,0.75,0.75,4,false,0.02,0.041,3,4,0,0,0
3,S-BP,IsingModel3X4,0.0,0.7444933920704846,0.7444933920704846,8,false,0.069,0.11000000000000001,3,4,0,0,0
4,S-BP,IsingModel3X4,0.0,0.7444933920704846,0.7444933920704846,8,false,0.125,0.23500000000000001,3,4,0,0,0
5,S-BP,IsingModel3X4,0.3333333333333333,0.7444933920704846,0.4111600587371513,8,false,0.17,0.405,3,4,0,0,0
6,S-BP,IsingModel3X4,0.3333333333333333,0.7444933920704846,0.4111600587371513,8,false,0.155,0.56,3,4,0,0,0
7,S-BP,IsingModel3X4,0.4807809640024405,0.7444933920704846,0.26371242806804407,8,false,0.148,0.7080000000000001,3,4,0,0,0
8,S-BP,IsingModel3X4,0.4807809640024405,0.7444933920704846,0.26371242806804407,8,false,0.145,0.8530000000000001,3,4,0,0,0
9,S-BP,IsingModel3X4,0.532318458044319,0.7373737373737373,0.20505527932941836,8,false,0.265,1.118,3,4,0,0,0
10,S-BP,IsingModel3X4,0.532318458044319,0.7065856898842285,0.17426723183990955,4,false,0.481,1.5990000000000002,3,4,0,0,0
11,S-BP,IsingModel3X4,0.532318458044319,0.7065856898842285,0.17426723183990955,4,false,0.556,2.1550000000000002,3,4,0,0,0
12,S-BP,IsingModel3X4,0.532318458044319,0.7065856898842285,0.17426723183990955,4,false,0.522,2.6770000000000005,3,4,0,0,0
13,S-BP,IsingModel3X4,0.532318458044319,0.7065856898842285,0.17426723183990955,8,false,0.753,3.4300000000000006,3,4,0,0,0
14,S-BP,IsingModel3X4,0.6057201225740552,0.7065856898842285,0.10086556731017338,4,false,1.202,4.632000000000001,3,4,0,0,0
15,S-BP,IsingModel3X4,0.6057201225740552,0.7065856898842285,0.10086556731017338,4,false,1.336,5.968000000000001,3,4,0,0,0
16,S-BP,IsingModel3X4,0.6369134963435525,0.6369134963435525,0.0,1,false,1.278,7.246,3,4,0,0,0
17,SGDPLL,IsingModel3X4,0.6369134963435525,0.6369134963435525,0.0,0,true,0.532,0.532,3,4,0,0,0
