Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModel2X2,0.0,1.0,1.0,2,false,0.137,0.137,2,2,0,0,0
1,S-BP,IsingModel2X2,1.0,1.0,0.0,4,false,0.283,0.42,2,2,0,0,0
2,S-BP,IsingModel2X2,1.0,1.0,0.0,4,false,0.215,0.635,2,2,0,0,0
3,S-BP,IsingModel2X2,1.0,1.0,0.0,1,false,0.196,0.831,2,2,0,0,0
4,SGDPLL,IsingModel2X2,1.0,1.0,0.0,0,true,0.04,0.04,2,2,0,0,0
0,S-BP,IsingModel3X3,0.0,1.0,1.0,2,false,0.002,0.002,3,3,0,0,0
1,S-BP,IsingModel3X3,0.0,0.7241379310344828,0.7241379310344828,4,false,0.114,0.116,3,3,0,0,0
2,S-BP,IsingModel3X3,0.0,0.7241379310344828,0.7241379310344828,4,false,0.075,0.191,3,3,0,0,0
3,S-BP,IsingModel3X3,0.0,0.36593591905564926,0.36593591905564926,8,false,0.189,0.38,3,3,0,0,0
4,S-BP,IsingModel3X3,0.0,0.36593591905564926,0.36593591905564926,8,false,0.26,0.64,3,3,0,0,0
5,S-BP,IsingModel3X3,0.09551656920077972,0.36593591905564926,0.27041934985486954,8,false,0.303,0.9430000000000001,3,3,0,0,0
6,S-BP,IsingModel3X3,0.09551656920077972,0.36593591905564926,0.27041934985486954,8,false,0.28,1.223,3,3,0,0,0
7,S-BP,IsingModel3X3,0.09551656920077972,0.36593591905564926,0.27041934985486954,16,false,0.562,1.7850000000000001,3,3,0,0,0
8,S-BP,IsingModel3X3,0.14623735181860337,0.30165745856353593,0.15542010674493256,8,false,0.588,2.373,3,3,0,0,0
9,S-BP,IsingModel3X3,0.1761570404092376,0.21952900631820793,0.04337196590897033,4,false,1.026,3.399,3,3,0,0,0
10,S-BP,IsingModel3X3,0.19516653020258312,0.21176504657150363,0.016598516368920513,4,false,1.002,4.401,3,3,0,0,0
11,S-BP,IsingModel3X3,0.20610250045236087,0.20610250045236087,0.0,1,false,0.487,4.888,3,3,0,0,0
12,SGDPLL,IsingModel3X3,0.20610250045236087,0.20610250045236087,0.0,0,true,0.272,0.272,3,3,0,0,0
0,S-BP,IsingModel3X4,0.0,1.0,1.0,2,false,0.001,0.001,3,4,0,0,0
1,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,4,false,0.019,0.02,3,4,0,0,0
2,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,4,false,0.019,0.039,3,4,0,0,0
3,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,4,false,0.035,0.07400000000000001,3,4,0,0,0
4,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,4,false,0.039,0.11300000000000002,3,4,0,0,0
5,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,3,false,0.08,0.193,3,4,0,0,0
6,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,3,false,0.131,0.324,3,4,0,0,0
7,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,12,false,0.199,0.523,3,4,0,0,0
8,S-BP,IsingModel3X4,0.2,0.6666666666666666,0.4666666666666666,12,false,0.15,0.673,3,4,0,0,0
9,S-BP,IsingModel3X4,0.2,0.3914209115281501,0.1914209115281501,16,false,0.354,1.0270000000000001,3,4,0,0,0
10,S-BP,IsingModel3X4,0.3032877143306591,0.3914209115281501,0.08813319719749102,8,false,0.79,1.8170000000000002,3,4,0,0,0
11,S-BP,IsingModel3X4,0.3032877143306591,0.3914209115281501,0.08813319719749102,8,false,0.872,2.689,3,4,0,0,0
12,S-BP,IsingModel3X4,0.3032877143306591,0.3914209115281501,0.08813319719749102,8,false,0.762,3.451,3,4,0,0,0
13,S-BP,IsingModel3X4,0.30454949557419503,0.3914209115281501,0.08687141595395509,8,false,0.985,4.436,3,4,0,0,0
14,S-BP,IsingModel3X4,0.30454949557419503,0.34609379878848434,0.04154430321428931,4,false,1.451,5.8870000000000005,3,4,0,0,0
15,S-BP,IsingModel3X4,0.3047258123561872,0.34373449725158933,0.03900868489540216,4,false,1.377,7.264,3,4,0,0,0
16,S-BP,IsingModel3X4,0.3263602251238553,0.3263602251238553,0.0,1,false,1.555,8.819,3,4,0,0,0
17,SGDPLL,IsingModel3X4,0.3263602251238553,0.3263602251238553,0.0,0,true,2.166,2.166,3,4,0,0,0
0,S-BP,IsingModel4X4,0.0,1.0,1.0,2,false,0.0,0.0,4,4,0,0,0
1,S-BP,IsingModel4X4,0.0,0.35353535353535354,0.35353535353535354,4,false,0.012,0.012,4,4,0,0,0
2,S-BP,IsingModel4X4,0.0,0.35353535353535354,0.35353535353535354,4,false,0.013,0.025,4,4,0,0,0
3,S-BP,IsingModel4X4,0.0,0.35084802128367143,0.35084802128367143,8,false,0.031,0.056,4,4,0,0,0
4,S-BP,IsingModel4X4,0.0,0.35084802128367143,0.35084802128367143,8,false,0.068,0.124,4,4,0,0,0
5,S-BP,IsingModel4X4,0.08820717823933258,0.2761539132710933,0.1879467350317607,8,false,0.104,0.22799999999999998,4,4,0,0,0
6,S-BP,IsingModel4X4,0.08820717823933258,0.2761539132710933,0.1879467350317607,8,false,0.102,0.32999999999999996,4,4,0,0,0
7,S-BP,IsingModel4X4,0.10172893572373523,0.21490128004483233,0.1131723443210971,16,false,0.237,0.567,4,4,0,0,0
8,S-BP,IsingModel4X4,0.10172893572373523,0.21490128004483233,0.1131723443210971,16,false,0.231,0.7979999999999999,4,4,0,0,0
9,S-BP,IsingModel4X4,0.10177662207109622,0.21474084106423807,0.11296421899314185,16,false,0.339,1.137,4,4,0,0,0
10,S-BP,IsingModel4X4,0.10177662207109622,0.21474084106423807,0.11296421899314185,16,false,0.683,1.82,4,4,0,0,0
11,S-BP,IsingModel4X4,0.10177662207109622,0.21119342103208463,0.10941679896098841,16,false,0.838,2.658,4,4,0,0,0
12,S-BP,IsingModel4X4,0.10177662207109622,0.21119342103208463,0.10941679896098841,16,false,0.83,3.488,4,4,0,0,0
