Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,Binary Tree Model,0.0,1.0,1.0,2,false,0.002,0.002,4,5,0,0,0
1,S-BP,Binary Tree Model,0.0,0.5675675675675675,0.5675675675675675,4,false,0.065,0.067,4,5,0,0,0
2,S-BP,Binary Tree Model,0.0,0.5675675675675675,0.5675675675675675,4,false,0.058,0.125,4,5,0,0,0
3,S-BP,Binary Tree Model,0.0,0.5675675675675675,0.5675675675675675,8,false,0.118,0.243,4,5,0,0,0
4,S-BP,Binary Tree Model,0.0,0.5675675675675675,0.5675675675675675,8,false,0.122,0.365,4,5,0,0,0
5,S-BP,Binary Tree Model,0.0,0.30434782608695654,0.30434782608695654,8,false,0.285,0.6499999999999999,4,5,0,0,0
6,S-BP,Binary Tree Model,0.0,0.30434782608695654,0.30434782608695654,8,false,0.285,0.9349999999999998,4,5,0,0,0
7,S-BP,Binary Tree Model,0.0,0.30434782608695654,0.30434782608695654,16,false,0.454,1.3889999999999998,4,5,0,0,0
8,S-BP,Binary Tree Model,0.0,0.30434782608695654,0.30434782608695654,16,false,0.489,1.8779999999999997,4,5,0,0,0
9,S-BP,Binary Tree Model,0.0,0.2619169656586366,0.2619169656586366,16,false,0.55,2.428,4,5,0,0,0
10,S-BP,Binary Tree Model,0.0,0.2619169656586366,0.2619169656586366,16,false,0.845,3.2729999999999997,4,5,0,0,0
11,S-BP,Binary Tree Model,0.06906147229951935,0.2619169656586366,0.19285549335911722,16,false,0.83,4.103,4,5,0,0,0
12,S-BP,Binary Tree Model,0.06906147229951935,0.2619169656586366,0.19285549335911722,16,false,0.83,4.933,4,5,0,0,0
13,S-BP,Binary Tree Model,0.06906147229951935,0.2178083876521953,0.14874691535267592,32,false,1.558,6.491,4,5,0,0,0
14,S-BP,Binary Tree Model,0.06906147229951935,0.2178083876521953,0.14874691535267592,32,false,1.755,8.245999999999999,4,5,0,0,0
15,S-BP,Binary Tree Model,0.06966819514860177,0.17923081928150755,0.10956262413290578,32,false,2.478,10.723999999999998,4,5,0,0,0
16,S-BP,Binary Tree Model,0.07023818428192703,0.16919583031974575,0.09895764603781872,16,false,2.756,13.479999999999999,4,5,0,0,0
17,S-BP,Binary Tree Model,0.0753494298641514,0.1103767745786457,0.0350273447144943,8,false,4.516,17.996,4,5,0,0,0
18,S-BP,Binary Tree Model,0.0753494298641514,0.1103767745786457,0.0350273447144943,8,false,4.719,22.715,4,5,0,0,0
19,S-BP,Binary Tree Model,0.0753494298641514,0.10849336062177636,0.033143930757624965,16,false,9.127,31.842,4,5,0,0,0
20,S-BP,Binary Tree Model,0.08731847097003113,0.09449048735053922,0.007172016380508087,8,false,10.015,41.857,4,5,0,0,0
21,S-BP,Binary Tree Model,0.08877843534472163,0.0906149325491957,0.001836497204474069,4,false,11.703,53.56,4,5,0,0,0
22,S-BP,Binary Tree Model,0.08877843534472163,0.09021010207738434,0.0014316667326627064,4,false,12.957,66.517,4,5,0,0,0
23,S-BP,Binary Tree Model,0.08978129376015472,0.08978129376015472,0.0,1,false,4.282,70.79899999999999,4,5,0,0,0
24,SGDPLL,Binary Tree Model,0.08978129376015472,0.08978129376015472,0.0,0,true,22.602,22.602,4,5,0,0,0
