Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.086,0.086,0,0,0,0,0
1,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.237,0.32299999999999995,0,0,0,0,0
2,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.134,0.45699999999999996,0,0,0,0,0
3,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.262,0.719,0,0,0,0,0
4,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.124,0.843,0,0,0,0,0
5,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.23,1.073,0,0,0,0,0
6,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.248,1.321,0,0,0,0,0
7,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.407,1.728,0,0,0,0,0
8,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.38,2.108,0,0,0,0,0
9,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.5,2.608,0,0,0,0,0
10,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.372,2.98,0,0,0,0,0
11,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.707,3.687,0,0,0,0,0
12,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.552,4.239,0,0,0,0,0
13,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,1.025,5.263999999999999,0,0,0,0,0
14,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,1.053,6.316999999999999,0,0,0,0,0
15,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.6,6.916999999999999,0,0,0,0,0
16,S-BP,BinaryTreeModel5Incremental,16,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.552,7.468999999999999,0,0,0,0,0
17,S-BP,BinaryTreeModel5Incremental,17,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.349,7.818,0,0,0,0,0
18,S-BP,BinaryTreeModel5Incremental,18,0.3132481292110411,0.4569657512749774,0.1437176220639363,64,false,0.345,8.163,0,0,0,0,0
