Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModel,0.0,1.0,1.0,2,false,0.159,0.159,4,5,0,0,0
1,S-BP,IsingModel,0.0,1.0,1.0,4,false,0.26,0.41900000000000004,4,5,0,0,0
2,S-BP,IsingModel,0.0,1.0,1.0,4,false,0.152,0.5710000000000001,4,5,0,0,0
3,S-BP,IsingModel,0.0,1.0,1.0,8,false,0.232,0.803,4,5,0,0,0
4,S-BP,IsingModel,0.0,1.0,1.0,8,false,0.307,1.11,4,5,0,0,0
5,S-BP,IsingModel,0.06309751434034416,1.0,0.9369024856596558,8,false,0.354,1.464,4,5,0,0,0
6,S-BP,IsingModel,0.06309751434034416,1.0,0.9369024856596558,8,false,0.267,1.7309999999999999,4,5,0,0,0
7,S-BP,IsingModel,0.06353305785123967,1.0,0.9364669421487604,16,false,0.462,2.193,4,5,0,0,0
8,S-BP,IsingModel,0.06353305785123967,1.0,0.9364669421487604,16,false,0.541,2.734,4,5,0,0,0
9,S-BP,IsingModel,0.06908357229666934,1.0,0.9309164277033306,16,false,0.621,3.355,4,5,0,0,0
10,S-BP,IsingModel,0.06908357229666934,1.0,0.9309164277033306,16,false,1.002,4.357,4,5,0,0,0
11,S-BP,IsingModel,0.06908357229666934,0.12655777105216306,0.05747419875549373,16,false,0.868,5.2250000000000005,4,5,0,0,0
12,S-BP,IsingModel,0.06908357229666934,0.12655777105216306,0.05747419875549373,16,false,0.816,6.041,4,5,0,0,0
13,S-BP,IsingModel,0.07472737412454321,0.12576566440793727,0.05103829028339406,32,false,1.563,7.604,4,5,0,0,0
14,S-BP,IsingModel,0.07472737412454321,0.12576566440793727,0.05103829028339406,32,false,1.711,9.315,4,5,0,0,0
15,S-BP,IsingModel,0.07472737412454321,0.12467887874346975,0.04995150461892654,32,false,1.763,11.078,4,5,0,0,0
16,S-BP,IsingModel,0.07472737412454321,0.12467887874346975,0.04995150461892654,32,false,2.66,13.738,4,5,0,0,0
17,S-BP,IsingModel,0.07622483580368644,0.12359665913750942,0.04737182333382298,32,false,6.109,19.847,4,5,0,0,0
18,S-BP,IsingModel,0.10605237954900675,0.11238529728576958,0.006332917736762839,16,false,8.614,28.461000000000002,4,5,0,0,0
19,S-BP,IsingModel,0.10605237954900675,0.11238529728576958,0.006332917736762839,16,false,7.409,35.870000000000005,4,5,0,0,0
20,S-BP,IsingModel,0.10634652078704367,0.11238529728576958,0.006038776498725917,32,false,11.161,47.031000000000006,4,5,0,0,0
21,S-BP,IsingModel,0.10634652078704367,0.11238529728576958,0.006038776498725917,32,false,12.445,59.476000000000006,4,5,0,0,0
22,S-BP,IsingModel,0.10634652078704367,0.11238529728576958,0.006038776498725917,32,false,16.313,75.789,4,5,0,0,0
23,S-BP,IsingModel,0.10643551647440724,0.11216714327428744,0.005731626799880193,16,false,10.582,86.37100000000001,4,5,0,0,0
24,S-BP,IsingModel,0.11067693293185703,0.11216714327428744,0.0014902103424304092,8,false,19.691,106.06200000000001,4,5,0,0,0
25,S-BP,IsingModel,0.11067693293185703,0.11216714327428744,0.0014902103424304092,8,false,23.023,129.085,4,5,0,0,0
26,S-BP,IsingModel,0.11073714509892967,0.1121442699877294,0.0014071248887997378,16,false,31.352,160.437,4,5,0,0,0
27,S-BP,IsingModel,0.11082581046854142,0.1121442699877294,0.0013184595191879783,8,false,23.054,183.491,4,5,0,0,0
28,S-BP,IsingModel,0.11179684354433174,0.1121442699877294,3.474264433976637E-4,2,false,17.174,200.66500000000002,4,5,0,0,0
29,S-BP,IsingModel,0.11179800230142192,0.11180700132746176,8.999026039832603E-6,2,false,18.495,219.16000000000003,4,5,0,0,0
30,S-BP,IsingModel,0.11180062208355705,0.11180062208355705,0.0,1,false,15.462,234.622,4,5,0,0,0
31,SGDPLL,IsingModel,0.11180062208355705,0.11180062208355705,0.0,0,true,289.931,289.931,4,5,0,0,0
