Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModel6X2Incremental,0,0.0,1.0,1.0,2,false,0.092,0.092,0,0,0,0,0
1,S-BP,IsingModel6X2Incremental,1,0.0,1.0,1.0,3,false,0.264,0.356,0,0,0,0,0
2,S-BP,IsingModel6X2Incremental,2,0.0,1.0,1.0,3,false,0.144,0.5,0,0,0,0,0
3,S-BP,IsingModel6X2Incremental,3,0.0967741935483871,1.0,0.9032258064516129,8,false,0.268,0.768,0,0,0,0,0
4,S-BP,IsingModel6X2Incremental,4,0.5254237288135594,0.8493150684931506,0.3238913396795913,4,false,0.322,1.09,0,0,0,0,0
5,S-BP,IsingModel6X2Incremental,5,0.5763342987174183,0.7795187465025182,0.20318444778509992,4,false,0.28,1.37,0,0,0,0,0
6,S-BP,IsingModel6X2Incremental,6,0.5763342987174183,0.7795187465025182,0.20318444778509992,4,false,0.362,1.7320000000000002,0,0,0,0,0
7,S-BP,IsingModel6X2Incremental,7,0.7556997605580039,0.7795187465025182,0.02381898594451426,4,false,0.338,2.0700000000000003,0,0,0,0,0
8,S-BP,IsingModel6X2Incremental,8,0.7624671459588909,0.7736797921984816,0.011212646239590729,4,false,0.39,2.4600000000000004,0,0,0,0,0
9,S-BP,IsingModel6X2Incremental,9,0.7624671459588909,0.7736797921984816,0.011212646239590729,4,false,0.346,2.8060000000000005,0,0,0,0,0
10,S-BP,IsingModel6X2Incremental,10,0.7651058722368914,0.769721474390261,0.004615602153369536,4,false,0.708,3.5140000000000002,0,0,0,0,0
11,S-BP,IsingModel6X2Incremental,11,0.766956443263204,0.7681484360148187,0.0011919927516147455,4,false,0.62,4.134,0,0,0,0,0
12,S-BP,IsingModel6X2Incremental,12,0.766956443263204,0.7681484360148187,0.0011919927516147455,4,false,0.569,4.703,0,0,0,0,0
13,S-BP,IsingModel6X2Incremental,13,0.7670748524931258,0.7679550599296571,8.802074365312773E-4,4,false,2.22,6.923,0,0,0,0,0
14,S-BP,IsingModel6X2Incremental,14,0.7672253620732059,0.7679550599296571,7.296978564511614E-4,4,false,2.05,8.972999999999999,0,0,0,0,0
15,S-BP,IsingModel6X2Incremental,15,0.7677125277393284,0.7677125277393284,0.0,1,true,5.643,14.616,0,0,0,0,0
