Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
0,S-BP,IsingModelIncremental,0,0.2727272727272727,1.0,0.7272727272727273,2,false,0.225,0.225,0,0,0,0,0
1,S-BP,IsingModelIncremental,1,0.2727272727272727,0.7948717948717948,0.5221445221445221,2,false,0.145,0.37,0,0,0,0,0
2,S-BP,IsingModelIncremental,2,0.4232902033271719,0.7166212534059946,0.2933310500788227,2,false,0.201,0.571,0,0,0,0,0
3,S-BP,IsingModelIncremental,3,0.6121956569423119,0.7166212534059946,0.10442559646368266,2,false,0.172,0.7429999999999999,0,0,0,0,0
4,S-BP,IsingModelIncremental,4,0.6187604919661517,0.6486653661321787,0.02990487416602705,2,false,0.139,0.8819999999999999,0,0,0,0,0
5,S-BP,IsingModelIncremental,5,0.6392020815264527,0.6396145303877715,4.1244886131874825E-4,2,false,0.149,1.031,0,0,0,0,0
6,S-BP,IsingModelIncremental,6,0.6392020815264527,0.6394012181092373,1.99136582784587E-4,2,false,0.148,1.1789999999999998,0,0,0,0,0
7,S-BP,IsingModelIncremental,7,0.6392933391391247,0.6393557915465222,6.245240739755076E-5,2,false,0.142,1.3209999999999997,0,0,0,0,0
8,S-BP,IsingModelIncremental,8,0.6393333355331104,0.6393333355331104,0.0,2,false,0.188,1.5089999999999997,0,0,0,0,0
9,S-BP,IsingModelIncremental,9,0.6393333355331104,0.6393333355331104,0.0,2,false,0.195,1.7039999999999997,0,0,0,0,0
10,S-BP,IsingModelIncremental,10,0.6393333355331104,0.6393333355331104,0.0,2,false,0.204,1.9079999999999997,0,0,0,0,0
11,S-BP,IsingModelIncremental,11,0.6393333355331104,0.6393333355331104,0.0,1,true,0.132,2.0399999999999996,0,0,0,0,0
12,SGDPLL,IsingModelIncremental,-1,0.6393333355331104,0.6393333355331104,0.0,0,true,7.245,7.245,0,0,0,0,0
